ID,Ingreso,Compras_Mensuales,Gasto_Por_Compra,Productos_Por_Compra,Beneficios,,,,
1000001,75195.79,9,3173.93,57,20%,,,,
1000002,72229.15,6,0,63,0%,,,,
1000003,74503.15,11,3305.78,61,20%,,,,
1000004,77072.3,9,2256.61,56,0%,,,,
1000005,73889.37,4,4317.42,38,20%,,,,
1000006,77237.07,5,2840.77,72,20%,,,,
1000006,77237.07,5,2840.77,68,20%,,,Gastos,Beneficios
1000007,77038.8,8,3327.89,67,20%,,,0.00,0
1000008,75076.03,5,3630.39,57,20%,,,2691.62,20%
1000009,77411.98,9,2248,59,0%,,,4816.66,30%
1000010,77714.37,4,3616.96,58,20%,,,6795.99,40%
1000011,81155.82,9,2628.05,42,0%,,,10515.50,50%
1000012,76844.08,2,3263.42,60,20%,,,,
1000013,73580.91,8,3873.64,77,20%,,,,
1000014,0,7,3005.1,68,20%,,,,
1000015,78067.21,8,3036.68,61,20%,,,,
1000016,68096.67,6,3696.83,49,20%,,,,
1000017,72342.19,9,3149.53,80,20%,,,,
1000018,71678.1,12,3108.58,68,20%,,,,
1000019,279895.69,8,3956.9,50,20%,,,,
1000020,72175.19,7,3862.15,82,20%,,,,
1000021,75784.59,10,2954.72,48,20%,,,,
1000022,74483.86,11,3070.38,55,20%,,,,
1000023,76482.08,10,2347.49,48,0%,,,,
1000024,75877.16,4,3009.16,76,20%,,,,
1000025,79963.47,8,3602.52,66,20%,,,,
1000026,69291.36,12,3841.38,51,20%,,,,
1000027,78308.23,4,2929.45,84,20%,,,,
1000028,72784.8,11,3846.82,53,20%,,,,
1000028,72784.8,11,3846.82,37,20%,,,,
1000029,73584.49,3,3111.45,55,20%,,,,
1000030,74768.99,8,3734.25,66,20%,,,,
1000031,71775.67,6,4117.52,55,20%,,,,
1000032,79315.84,7,3499.37,66,20%,,,,
1000033,71355.83,13,3002.61,63,20%,,,,
1000034,74959.03,11,3228.06,49,20%,,,,
1000035,70185.71,10,4032.39,47,20%,,,,
1000036,71814.95,13,3193.41,71,20%,,,,
1000037,74810.39,5,2556.26,40,0%,,,,
1000038,75361.32,11,2623.71,62,0%,,,,
1000039,74200.25,7,2964.15,70,20%,,,,
1000040,73228.8,13,3990.78,58,20%,,,,
1000041,69429.45,10,3089.6,48,20%,,,,
1000042,73156.77,7,2957.34,49,20%,,,,
1000043,80169.49,0,3665.04,46,20%,,,,
1000044,75561.91,3,3207.37,49,20%,,,,
1000045,74944.31,5,3916.89,45,20%,,,,
1000046,74825.25,8,3224.08,67,20%,,,,
1000047,71346.8,2,2713.09,63,20%,,,,
1000048,80123.11,7,2808.42,59,20%,,,,
1000049,71530.17,8,4511.2,41,20%,,,,
1000050,73065.52,5,3283.86,43,20%,,,,
1000051,79348.52,7,2884.4,44,20%,,,,
1000052,75826.2,10,2972.91,64,20%,,,,
1000053,73560.23,11,2023.62,48,0%,,,,
1000054,78448.77,10,3224,44,20%,,,,
1000055,72555,10,3081.93,62,20%,,,,
1000056,70912.52,8,2592.88,71,0%,,,,
1000057,72135.89,5,43510.33,58,50%,,,,
1000058,75342.01,7,4072.43,49,20%,,,,
1000059,74590.58,3,4440.11,57,20%,,,,
1000060,72468.35,10,3499.28,72,20%,,,,
1000061,76673.24,10,3383.1,71,20%,,,,
1000062,73257.32,10,4183.49,66,20%,,,,
1000063,77249.46,8,3538.47,74,20%,,,,
1000064,69620.49,6,3018.17,68,20%,,,,
1000065,74623.78,8,3142.13,48,20%,,,,
